index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
54928,17,Республика Дагестан,Ботлихская,16,0,28596,4
55090,276,Республика Дагестан,Гунибская,182,0,16275,4
55252,496,Республика Дагестан,Курахская,487,0,10257,4
55414,271,Республика Дагестан,Рутульская,229,0,14946,4
55576,165,Республика Дагестан,Хунзахская,138,0,22494,4
55738,139,Республика Дагестан,Чародинская,131,0,8770,4
55900,1604,Республика Ингушетия,Назрановская,1365,3,58682,5
56062,535,Республика Калмыкия,Сарпинская,182,7,8188,4
56224,166,Республика Карелия,Кемская,63,5,12597,4
56386,2334,Республика Карелия,Петрозаводская городская №1,952,24,108274,5
56548,165,Республика Карелия,Пряжинская,65,1,12466,4
56710,2032,Республика Коми,Вуктыльская городская,775,35,10184,4
56872,90,Республика Коми,Прилузская,65,1,16382,4
57034,2392,Республика Коми,Сыктывкарская городская,925,21,148801,5
57196,538,Республика Коми,Усть-Куломская,185,3,21097,4
57358,772,Республика Крым,Бахчисарайская,416,15,72752,5
57520,2043,Республика Крым,Симферопольская - 19,555,16,48414,4
57682,3194,Республика Крым,Керченская городская,1910,61,106485,5
57844,237,Республика Крым,Ленинская,147,1,245986,6
58006,2137,Республика Крым,Симферопольская - 20,1147,30,49772,4
58168,1973,Республика Крым,Евпаторийская городская,733,22,87407,5
58330,150,Республика Крым,Сакская,115,1,61840,5
58492,1893,Республика Марий Эл,Волжская городская,745,17,257014,6
58654,2490,Республика Марий Эл,Йошкар-Олинская городская № 1,976,20,104003,5
58816,1303,Республика Марий Эл,Медведевская,601,11,57780,5
58978,295,Республика Марий Эл,Юринская,158,5,6169,4
59140,650,Республика Мордовия,Дубенская,537,0,19540,4
59302,340,Республика Мордовия,Ковылкинская,286,0,29402,4
59464,1625,Республика Мордовия,Октябрьская,730,11,308508,6
59626,322,Республика Мордовия,Рузаевская,217,17,47811,4
59788,941,Республика Саха (Якутия),Алданская,403,11,32959,4
59950,522,Республика Саха (Якутия),Горная,380,1,6927,4
60112,408,Республика Саха (Якутия),Намская,242,8,15754,4
60274,78,Республика Саха (Якутия),Сунтарская,56,0,15880,4
60436,48,Республика Саха (Якутия),Чурапчинская,39,0,14329,4
60598,278,Республика Северная Осетия - Алания,ТИК Алагирского района,235,2,28120,4
60760,2811,Республика Северная Осетия - Алания,ТИК Моздокского района,1575,41,58518,5
60922,1505,Республика Северная Осетия - Алания,ТИК Пригородного района,1347,0,76509,5
61084,1976,Республика Татарстан (Татарстан),"Казань, Приволжская",811,28,195525,6
61246,542,Республика Татарстан (Татарстан),Лаишевская,535,0,40152,4
61408,379,Республика Татарстан (Татарстан),Сабинская,367,1,23955,4
61570,219,Республика Татарстан (Татарстан),Атнинская,209,2,9826,4
61732,1025,Республика Татарстан (Татарстан),Высокогорская,927,11,42511,4
61894,1889,Республика Татарстан (Татарстан),"Казань, Кировская",1166,23,92311,5
62056,424,Республика Татарстан (Татарстан),Тетюшская,418,2,16466,4
62218,190,Республика Татарстан (Татарстан),Заинская,181,1,10144,4
62380,2634,Республика Татарстан (Татарстан),Нижнекамская городская,1441,61,171584,6
62542,176,Республика Татарстан (Татарстан),Черемшанская,171,0,14144,4
62704,464,Республика Татарстан (Татарстан),Актанышская,460,0,21692,4
62866,2763,Республика Татарстан (Татарстан),"Набережные Челны, Комсомольская",2329,22,111013,5
63028,375,Республика Татарстан (Татарстан),Азнакаевская,340,1,20516,4
63190,78,Республика Татарстан (Татарстан),Альметьевская городская,78,0,114447,5
63352,752,Республика Татарстан (Татарстан),Лениногорская,706,1,15564,4
63514,2674,Республика Татарстан (Татарстан),"Казань, Авиастроительная",1721,16,89704,5
63676,2714,Республика Татарстан (Татарстан),"Казань, Советская",1524,13,246285,6
63838,2643,Республика Тыва,Кызылская городская,1495,17,75080,5
64000,2098,Республика Хакасия,Абаканская городская,721,17,132218,5
64162,195,Республика Хакасия,Орджоникидзевская,105,6,8925,4
64324,580,Республика Хакасия,Ширинская,182,6,20875,4
64487,427,Ростовская область,Кагальницкая,187,0,22956,4
64649,640,Ростовская область,Сальская,199,0,78075,5
64811,1149,Ростовская область,Азовская городская,488,5,57905,5
64974,2066,Ростовская область,"Ростов-на-Дону, Советская",725,6,134396,5
65137,469,Ростовская область,Неклиновская,170,7,71631,5
65299,1838,Ростовская область,Таганрогская городская (западная),523,14,105617,5
65462,2053,Ростовская область,Новочеркасская городская,652,13,118153,5
65624,1051,Ростовская область,Белокалитвинская,675,0,71822,5
65787,1497,Ростовская область,Каменск-Шахтинская городская,656,12,64117,5
65949,503,Ростовская область,Миллеровская,259,6,48605,4
66111,519,Ростовская область,Чертковская,407,0,24534,4
66274,838,Ростовская область,Красносулинская,594,0,53607,5
66436,2204,Ростовская область,Шахтинская городская,547,5,156229,6
66598,1445,Ростовская область,Волгодонская городская,503,17,117569,5
66761,1526,Ростовская область,Морозовская,610,13,30218,4
66923,1402,Ростовская область,Цимлянская,609,13,25697,4
67085,662,Рязанская область,Кадомская,330,4,6031,4
67247,2534,Рязанская область,"Рязань, Московская",798,18,138159,5
67409,198,Рязанская область,Шацкая,174,0,17319,4
67571,1146,Рязанская область,Захаровская,668,3,7723,4
67733,701,Рязанская область,Рязанская - 157,322,5,17530,4
67895,588,Рязанская область,Скопинская,498,3,20203,4
68057,1818,Самарская область,Волжская - 158,1546,0,39847,4
68219,1877,Самарская область,"Самара, Куйбышевская",570,16,66395,5
68381,2001,Самарская область,"Тольятти, Автозаводская",688,27,330862,6
68543,447,Самарская область,"Тольятти, Центральная",423,5,119300,5
68705,2741,Самарская область,Красноярская,1048,51,66222,5
68867,2035,Самарская область,"Самара, Кировская",1243,25,175908,6
69029,2309,Самарская область,Безенчукская,945,28,29274,4
69191,397,Самарская область,Ставропольская - 161,215,4,10443,4
69353,507,Самарская область,Хворостянская,499,0,10485,4
69515,640,Самарская область,Кинель-Черкасская,306,11,29892,4
69677,1787,Самарская область,"Самара, Промышленная",593,14,205474,6
69839,1181,Саратовская область,Петровская,559,11,94728,5
70001,1824,Саратовская область,"Саратов, Ленинская",876,0,207581,6
70163,998,Саратовская область,Балаковская,379,6,154813,6
70325,451,Саратовская область,Дергачевская,395,0,15400,4
70487,888,Саратовская область,Перелюбская,390,15,11018,4
70649,566,Саратовская область,Аркадакская,410,2,17082,4
70811,178,Саратовская область,Екатериновская,102,0,13347,4
70973,892,Саратовская область,Ртищевская,385,5,39421,4
71135,1343,Саратовская область,Турковская,781,16,8649,4
71297,1291,Саратовская область,Новоузенская,595,6,21583,4
71459,1921,Саратовская область,Энгельсская,991,7,218814,6
71621,1093,Сахалинская область,Долинская,481,15,19904,4
71783,275,Сахалинская область,Охинская,137,3,19482,4
71945,1155,Сахалинская область,Южно-Сахалинская городская,359,8,151057,6
72107,1684,Свердловская область,"Екатеринбург, Верх-Исетская",643,18,182120,6
72269,1748,Свердловская область,"Екатеринбург, Ленинская",810,27,163460,6
72431,2571,Свердловская область,"Екатеринбург, Чкаловская",1033,27,205928,6
72593,973,Свердловская область,Сысертская,421,13,55056,5
