index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,Группа
31529,1674,Московская область,Красногорская городская,610,20,194268,6,1
75311,507,Смоленская область,Смоленская 176,232,3,18892,4,1
22203,2184,Краснодарский край,"Новороссийск, Приморская",831,21,62542,5,1
34464,1341,Мурманская область,Кольская,474,9,29586,4,1
2229,362,Амурская область,Селемджинского района,200,5,8183,4,1
67014,287,Рязанская область,Cараевская,259,0,13308,4,1
60680,2282,Республика Северная Осетия - Алания,ТИК Левобережной части г.Владикавказа,1739,60,137799,5,1
16192,2306,Калининградская область,"Калининград, Московская",1042,39,139366,5,1
75220,2371,Смоленская область,"Смоленск, Ленинская",874,21,83498,5,1
12677,2538,Забайкальский край,"Чита, Черновская",908,31,62495,5,1
14284,1255,Иркутская область,"Иркутск, Иркутская городская № 1",463,15,115029,5,1
13016,1293,Ивановская область,Пучежская,528,9,10360,4,1
2037,932,Амурская область,Константиновского района,398,48,9651,4,1
23368,186,Краснодарский край,Курганинская,171,0,68901,5,1
66853,141,Ростовская область,Ремонтненская,118,0,11900,4,1
